Time,WorldAz,WorldEl,CalAz,CalEl,PhysAz,PhysEl,ServoAz_deg,ServoEl_deg,PulseAz_us,PulseEl_us,DroneLat,DroneLon,DroneAlt,BaseLat,BaseLon,BaseAlt
2025-07-31 17:54:03,353.07,69.7,353.07,69.7,180.0,69.7,90.0,34.85,2000.0,1387.2,13.02719,77.5631619,1074.807,13.0267756,77.5632136,949.94
2025-07-31 17:54:03,352.98,69.68,352.98,69.68,180.0,69.68,90.0,34.84,2000.0,1387.1,13.02719,77.5631619,1074.807,13.0267749,77.5632144,949.86
2025-07-31 17:54:03,352.85,69.65,352.85,69.65,180.0,69.65,90.0,34.825,2000.0,1386.9,13.02719,77.5631619,1074.807,13.0267745,77.5632154,949.86
2025-07-31 17:54:04,352.7,69.64,352.7,69.64,180.0,69.64,90.0,34.82,2000.0,1386.9,13.02719,77.5631619,1074.807,13.0267742,77.5632166,949.8
2025-07-31 17:54:04,352.52,69.62,352.52,69.62,180.0,69.62,90.0,34.81,2000.0,1386.8,13.02719,77.5631619,1074.807,13.0267738,77.563218,949.78
2025-07-31 17:54:04,352.35,69.58,352.35,69.58,180.0,69.58,90.0,34.79,2000.0,1386.6,13.02719,77.5631619,1074.807,13.0267731,77.5632194,949.77
2025-07-31 17:54:04,352.19,69.56,352.19,69.56,180.0,69.56,90.0,34.78,2000.0,1386.4,13.02719,77.5631619,1074.807,13.0267724,77.5632207,949.64
2025-07-31 17:54:04,351.91,69.53,351.91,69.53,180.0,69.53,90.0,34.765,2000.0,1386.3,13.02719,77.5631619,1074.807,13.026772,77.5632229,949.63
2025-07-31 17:54:05,351.69,69.47,351.69,69.47,180.0,69.47,90.0,34.735,2000.0,1385.9,13.02719,77.5631619,1074.807,13.0267711,77.5632247,949.74
2025-07-31 17:54:05,351.55,69.4,351.55,69.4,180.0,69.4,90.0,34.7,2000.0,1385.6,13.02719,77.5631619,1074.807,13.0267701,77.5632259,949.82
2025-07-31 17:54:05,351.44,69.35,351.44,69.35,180.0,69.35,90.0,34.675,2000.0,1385.3,13.02719,77.5631619,1074.807,13.0267691,77.5632269,949.87
2025-07-31 17:54:05,351.35,69.29,351.35,69.29,180.0,69.29,90.0,34.645,2000.0,1384.9,13.02719,77.5631619,1074.807,13.026768,77.5632278,949.85
2025-07-31 17:54:06,351.22,69.24,351.22,69.24,180.0,69.24,90.0,34.62,2000.0,1384.7,13.02719,77.5631619,1074.807,13.0267665,77.563229,949.75
2025-07-31 17:54:06,351.11,69.15,351.11,69.15,180.0,69.15,90.0,34.575,2000.0,1384.2,13.02719,77.5631619,1074.807,13.0267646,77.5632302,949.73
2025-07-31 17:54:06,351.0,69.07,351.0,69.07,180.0,69.07,90.0,34.535,2000.0,1383.7,13.02719,77.5631619,1074.807,13.0267631,77.5632313,949.77
2025-07-31 17:54:06,350.91,69.0,350.91,69.0,180.0,69.0,90.0,34.5,2000.0,1383.3,13.02719,77.5631619,1074.807,13.0267615,77.5632323,949.75
2025-07-31 17:54:06,350.79,68.92,350.79,68.92,180.0,68.92,90.0,34.46,2000.0,1382.9,13.02719,77.5631619,1074.807,13.02676,77.5632335,949.79
2025-07-31 17:54:07,350.65,68.86,350.65,68.86,180.0,68.86,90.0,34.43,2000.0,1382.6,13.02719,77.5631619,1074.807,13.0267588,77.5632348,949.73
2025-07-31 17:54:07,350.47,68.81,350.47,68.81,180.0,68.81,90.0,34.405,2000.0,1382.3,13.02719,77.5631619,1074.807,13.0267578,77.5632364,949.71
2025-07-31 17:54:07,350.31,68.77,350.31,68.77,180.0,68.77,90.0,34.385,2000.0,1382.1,13.02719,77.5631619,1074.807,13.0267571,77.5632378,949.71
2025-07-31 17:54:07,350.11,68.73,350.11,68.73,180.0,68.73,90.0,34.365,2000.0,1381.8,13.02719,77.5631619,1074.807,13.0267564,77.5632395,949.68
2025-07-31 17:54:07,349.9,68.7,349.9,68.7,180.0,68.7,90.0,34.35,2000.0,1381.7,13.02719,77.5631619,1074.807,13.0267558,77.5632413,949.65
2025-07-31 17:54:08,349.71,68.66,349.71,68.66,180.0,68.66,90.0,34.33,2000.0,1381.4,13.02719,77.5631619,1074.807,13.0267552,77.5632429,949.64
2025-07-31 17:54:08,349.28,68.62,349.28,68.62,180.0,68.62,90.0,34.31,2000.0,1381.2,13.02719,77.5631619,1074.807,13.0267546,77.5632465,949.57
2025-07-31 17:54:08,349.28,68.62,349.28,68.62,180.0,68.62,90.0,34.31,2000.0,1381.2,13.02719,77.5631619,1074.807,13.0267546,77.5632465,949.57
